idx,orig_label,fidelity_drop,confidence,stability_no_stopwords,stability_no_punct,topk_overlap,xai_change,label_flip,robust_expl,fidelity_norm,stability_norm,agreement_norm,robustness_norm,ERS
111,negative,0.9159687831997873,0.9982012510299684,0.6,0.6,0.625,0.4,0,0.6,0.9179041501181117,0.7481296758104754,0.7132667617689025,0.7481296758104754,0.7818575658769913
112,neutral,-0.000215470790863,0.9989681243896484,0.2,0.2,0.375,0.8,0,0.19999999999999996,0.007670413857037528,0.2493765586034918,0.4279600570613415,0.24937655860349175,0.23359589703134065
113,positive,0.99860089935828,0.9990416169166564,0.4,0.6,0.375,0.6,0,0.4,0.9999995796111311,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.60636646777161
114,neutral,-0.0001688599586486,0.9986937642097472,0.0,0.2,0.0,1.0,0,0.0,0.00771672195693332,0.0,0.0,0.0,0.00192918048923333
115,positive,0.9932756509515456,0.9937606453895568,0.4,0.8,0.375,0.6,0,0.4,0.9947089181173683,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.6050438023981692
116,neutral,-0.1886101961135864,0.8106458783149719,0.6,0.6,0.5,0.4,0,0.6,0.0,0.7481296758104754,0.570613409415122,0.7481296758104754,0.5167181902590181
117,positive,0.0024682879447937,0.9975802898406982,0.6,0.8,0.5,0.4,0,0.6,0.010336741869704971,0.7481296758104754,0.570613409415122,0.7481296758104754,0.5193023757264444
118,positive,0.9919874696643092,0.9925220608711244,0.6,0.8,0.875,0.4,1,0.6,0.9934291034283954,0.7481296758104754,0.9985734664764635,0.7481296758104754,0.8720654803814525
119,negative,0.9975124658667482,0.9984093308448792,0.6,0.8,0.5,0.4,0,0.6,0.9989182153775139,0.7481296758104754,0.570613409415122,0.7481296758104754,0.7664477441033968
120,neutral,1.0371208190917969e-05,0.999159574508667,0.2,0.6,0.5,0.8,0,0.19999999999999996,0.007894789036711392,0.2493765586034918,0.570613409415122,0.24937655860349175,0.2693153289147042
121,neutral,-4.8279762268066406e-05,0.9991661310195924,0.0,0.8,0.375,1.0,0,0.0,0.007836518997967893,0.0,0.4279600570613415,0.0,0.10894914401482735
122,neutral,-0.0004360079765319,0.9984789490699768,0.2,0.6,0.375,0.8,0,0.19999999999999996,0.007451309036558967,0.2493765586034918,0.4279600570613415,0.24937655860349175,0.233541120826221
123,positive,0.987168719060719,0.9990413784980774,0.4,0.4,0.625,0.6,0,0.4,0.988641650089276,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.6748536615680364
124,positive,0.9982712473138236,0.9990326166152954,0.4,0.4,0.625,0.6,0,0.4,0.9996720686210822,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.6776112662009879
125,neutral,-0.000205636024475,0.999030351638794,0.2,0.4,0.375,0.8,0,0.19999999999999996,0.007680184747680553,0.2493765586034918,0.4279600570613415,0.24937655860349175,0.2335983397540014
126,neutral,-0.0003156661987304,0.9985848665237428,0.6,0.4,0.375,0.4,0,0.6,0.007570869207517414,0.7481296758104754,0.4279600570613415,0.7481296758104754,0.48294756947245243
127,neutral,-0.0062484741210937,0.992711901664734,1.0,0.6,0.75,0.0,0,1.0,0.0016765942315286244,1.0,0.855920114122683,1.0,0.7143991770885529
